_time,_measurement,_field,_value
2023-07-06 12:28:43.105933+02:00,PC,GPU_temp,69.0
2023-07-06 12:28:54.210696+02:00,PC,GPU_temp,69.0
2023-07-06 12:29:04.282200+02:00,PC,GPU_temp,69.0
2023-07-06 12:29:15.437131+02:00,PC,GPU_temp,70.0
2023-07-06 12:29:25.808799+02:00,PC,GPU_temp,69.0
2023-07-06 12:29:35.875551+02:00,PC,GPU_temp,69.0
2023-07-06 12:29:46.985246+02:00,PC,GPU_temp,69.0
2023-07-06 12:29:57.045125+02:00,PC,GPU_temp,69.0
2023-07-06 12:30:08.129104+02:00,PC,GPU_temp,69.0
2023-07-06 12:30:18.217101+02:00,PC,GPU_temp,69.0
2023-07-06 12:30:29.341625+02:00,PC,GPU_temp,69.0
2023-07-06 12:30:39.422838+02:00,PC,GPU_temp,69.0
2023-07-06 12:30:50.537035+02:00,PC,GPU_temp,70.0
2023-07-06 12:31:00.855721+02:00,PC,GPU_temp,69.0
2023-07-06 12:31:10.910738+02:00,PC,GPU_temp,69.0
2023-07-06 12:31:22.026678+02:00,PC,GPU_temp,69.0
2023-07-06 12:31:32.118478+02:00,PC,GPU_temp,69.0
2023-07-06 12:31:43.212710+02:00,PC,GPU_temp,69.0
2023-07-06 12:31:53.261354+02:00,PC,GPU_temp,69.0
2023-07-06 12:32:04.371034+02:00,PC,GPU_temp,70.0
2023-07-06 12:32:14.420343+02:00,PC,GPU_temp,69.0
2023-07-06 12:32:25.567624+02:00,PC,GPU_temp,70.0
2023-07-06 12:32:35.597651+02:00,PC,GPU_temp,69.0
2023-07-06 12:32:46.762461+02:00,PC,GPU_temp,70.0
2023-07-06 12:32:56.820860+02:00,PC,GPU_temp,69.0
2023-07-06 12:33:07.891238+02:00,PC,GPU_temp,70.0
2023-07-06 12:33:17.932524+02:00,PC,GPU_temp,69.0
2023-07-06 12:33:29.050282+02:00,PC,GPU_temp,69.0
2023-07-06 12:33:39.142922+02:00,PC,GPU_temp,69.0
2023-07-06 12:33:50.258880+02:00,PC,GPU_temp,69.0
2023-07-06 12:34:00.303181+02:00,PC,GPU_temp,69.0
2023-07-06 12:34:11.392588+02:00,PC,GPU_temp,69.0
2023-07-06 12:34:21.446451+02:00,PC,GPU_temp,69.0
2023-07-06 12:34:32.590830+02:00,PC,GPU_temp,70.0
2023-07-06 12:34:42.637108+02:00,PC,GPU_temp,69.0
2023-07-06 12:34:53.744465+02:00,PC,GPU_temp,70.0
2023-07-06 12:35:03.791464+02:00,PC,GPU_temp,69.0
2023-07-06 12:35:14.925032+02:00,PC,GPU_temp,70.0
2023-07-06 12:35:24.962753+02:00,PC,GPU_temp,69.0
